# Generated by https://travellermap.com
# 2019-07-14T19:02:32-07:00

# Iphigenaia
# -6,1

# Name: Iphigenaia
# Name: Kyatulyare' (as)

# Milieu: M1105

# Source:    CORE
# Ref:       http://www.ocean-of-storms.com/core/astrogat/gA.htm

# Subsector A: Cheetham
# Subsector B: La Grone
# Subsector C: Keflin
# Subsector D: Shillelagh
# Subsector E: Tempoko
# Subsector F: Noriega
# Subsector G: Warzone
# Subsector H: Iyarl
# Subsector I: Zebylono
# Subsector J: Maria
# Subsector K: Ykoroni
# Subsector L: Ftyeeta
# Subsector M: Riter
# Subsector N: Emma
# Subsector O: Bablari
# Subsector P: Eikaoweal

# Alleg: As: "Aslan Hierate"
# Alleg: Na: "Non-Aligned, Human-dominated"
# Alleg: Rm: "Regency of Muirimi"

Hex  Name                 UWP       Remarks              {Ix} (Ex) [Cx] N B  Z PBG W A  Stellar       
---- -------------------- --------- -------------------- ---- ---- ---- - -- - --- - -- --------------
0303                      X643001-1 Lo Ni Po                            - -  - 003   Na F5 V          
0308                      X000001-2 As Lo Ni                            - -  - 000   Na M1 V M1 D     
0408                      X431004-4 Lo Ni Po                            - -  - 010   Na M2 V M4 D M9 D
0409                      X300003-1 Lo Ni Va                            - -  - 015   Na M6 V          
0605                      X354000-3 Ba Lo Ni                            - -  - 004   Na F6 V          
0807                      X400003-2 Lo Ni Va                            - -  - 004   Na M0 V M9 D     
0810                      X433000-1 Ba Lo Ni Po                         - -  - 003   Na M4 IV         
0901                      X643000-3 Ba Lo Ni Po                         - -  - 012   Na G7 V          
1109                      X725002-3 Lo Ni                               - -  - 005   Na G1 V          
1203                      X467012-0 Lo Ni                               - -  - 004   Na F0 V M7 D     
1207                      X648000-2 Ba Lo Ni                            - -  - 013   Na F7 V M6 D     
1209                      X223002-2 Lo Ni Po                            - -  - 003   Na M0 II         
1301                      X897020-2 Lo Ni                               - -  - 024   Na F1 V          
1302                      X437022-1 Lo Ni                               - -  - 024   Na K6 V          
1306                      X6B1000-2 Ba Fl Lo Ni                         - -  - 004   Na G5 V M8 D     
1309                      X335000-0 Ba Lo Ni                            - -  - 002   Na M3 V M5 D     
1401                      X9B7023-3 Fl Lo Ni                            - -  - 003   Na G5 V M6 D     
1408                      X201001-5 Ic Lo Ni Va                         - -  - 003   Na M6 V M9 D     
1409                      X253000-3 Ba Lo Ni Po                         - -  - 002   Na G4 V M4 D     
1501                      X857023-0 Lo Ni                               - -  - 023   Na G5 V          
1505                      X7B6000-3 Ba Fl Lo Ni                         - -  - 004   Na F4 IV         
1601                      X593015-2 Lo Ni                               - -  - 003   Na F3 V M5 D     
1607                      X000001-2 As Lo Ni                            - -  - 000   Na G7 V          
1608                      X350005-1 De Lo Ni Po                         - -  - 000   Na F7 V          
1610                      X353003-0 Lo Ni Po                            - -  - 003   Na F6 V          
1704                      X8B2003-1 Fl Lo Ni                            - -  - 023   Na K0 V          
1705                      X646000-0 Ba Lo Ni                            - -  - 003   Na F2 V M6 D     
1802                      X6A3000-2 Ba Fl Lo Ni                         - -  - 002   Na K9 V M0 D     
1805                      X869000-2 Ba Lo Ni                            - -  - 000   Na F2 V          
1806                      X786000-0 Ba Lo Ni                            - -  - 021   Na F0 V          
1903                      X200000-5 Ba Lo Ni Va                         - -  - 005   Na M3 IV M1 V    
1907                      X99A002-3 Lo Ni Wa                            - -  - 014   Na K5 V M3 D     
1909                      X64A000-4 Ba Lo Ni Wa                         - -  - 012   Na F5 V M8 D     
1910                      X540004-3 De Lo Ni Po                         - -  - 024   Na G4 V          
2003                      X264000-0 Ba Lo Ni                            - -  - 014   Na G0 V M2 D     
2008 Eaealeh              D8636A7-5 Ni                                  - S  - 410   As K6 V M8 D     
2107 Tou'iraro            D554984-6 Hi                                  - -  - 303   As F7 V          
2108 Ayeweaar             D364769-4 Ag Ri                               - -  - 505   As F6 V M0 D     
2109 Khtaalraw            D584544-6 Ag Ni                               - S  - 902   As F1 V M1 D     
2201                      X300003-3 Lo Ni Va                            - -  - 024   Na G7 V M2 D     
2205 Feaoahyerea          C64A235-6 Lo Ni Wa                            - -  - 913   As F4 V          
2207 Aohh                 D200989-A Hi Na Va                            - -  - 202   As K0 V          
2302 Htoiyhaa             C616520-7 Ic Ni                               - -  - 903   As M0 V          
2303 Uhyahusueh           C8C4745-6 Fl                                  - -  - 400   As F3 V          
2306 Tyew                 C524675-9 Ni                                  - -  - 323   As K7 V M1 D     
2401 Hkealreaw            C365410-9 Ni                                  - S  - 203   As F2 V M7 D     
2405 Ouhoieahkau          C7B489A-9 Fl                                  - S  - 710   As F4 V          
2503 Hlu'ou               C351574-9 Ni Po                               - S  - 724   As F7 V M2 D     
2506 Iroseh               C362787-5 Ri                                  - S  - 703   As G4 V          
2509 Sewe                 B55669D-5 Ag Ni                               - N  - 203   As F6 V M4 D     
2510 Ahlalria             B44769E-7 Ag Ni                               - -  - 402   As K6 V          
2602 Saohar               C9A3966-9 Fl Hi                               - S  - 113   As F6 V          
2606 Saokhawase           B97A59A-9 Ni Wa                               - -  - 903   As G0 V          
2607 Khtoih               D7299DB-3 Hi In                               - S  - 304   As F2 V M6 D     
2608 Aw                   B482489-7 Ni                                  - -  - 710   As F6 V M5 D     
2610 Ikhtakheaha          B654585-B Ag Ni                               - -  - 904   As G0 V M2 D     
2704 Eikha                C465469-8 Ni                                  - -  - 515   As F9 V M6 D     
2706 Teasi                C220673-7 De Na Ni Po                         - -  - 224   As G6 IV         
2802 Eakharlil            C72978C-9                                     - S  - 602   As G2 V          
2804 Iyheas               C656689-7 Ag Ni                               - S  - 214   As G8 V M7 D     
2807 Uiheafti             B413897-C Ic Na                               - -  - 400   As G0 V          
2808 Tryeai'ayu           B899799-B                                     - -  - 904   As F2 V M4 D     
2809 Aiahoih              B948687-9 Ag Ni                               - N  - 720   As G3 V          
2810 Hrasalrarar          B623353-B Lo Ni Po                            - -  - 601   As M9 IV         
2901                      X739004-5 Lo Ni                               - -  - 004   Na M5 V M7 D M9 D
2904 Aauawoihriy          C685244-9 Lo Ni                               - -  - 822   As F3 V M8 D     
2907 Hloahyakh            B576677-6 Ag Ni                               - -  - 703   As F5 V          
2909 Waatel               B86A572-C Ni Wa                               - -  - 303   As G9 V          
2910 Harleaoua            B575359-B Lo Ni                               - -  - 803   As G9 V M6 D     
3010                      X687000-1 Ba Lo Ni                            - -  - 024   Na F3 V M5 D     
3101                      X446000-3 Ba Lo Ni                            - -  - 002   Na F9 V          
3102                      X484000-1 Ba Lo Ni                            - -  - 002   Na F2 V          
3110                      X421004-3 Lo Ni Po                            - -  - 003   Na M5 V M6 D     
0113                      X666003-0 Lo Ni                               - -  - 004   Na G2 V M1 D     
0116                      X457004-4 Lo Ni                               - -  - 014   Na F8 V          
0213                      X653000-1 Ba Lo Ni Po                         - -  - 003   Na F7 V          
0214                      X210000-0 Ba Lo Ni                            - -  - 012   Na M5 V M8 D     
0216                      X200001-3 Lo Ni Va                            - -  - 000   Na M1 V          
