# Generated by https://travellermap.com
# 2019-07-14T19:03:24-07:00

# Theron
# -7,1

# Name: Theron
# Name: Iykhaiser (as)

# Milieu: M1105

# Author:    Jo Grant
# Source:    CORE, The Zhodani Base
# Ref:       http://zho.berka.com/data/CLASSIC/sector.pl?sector=THERON

# Subsector A: Terrelay
# Subsector B: Ronodik
# Subsector C: Babs
# Subsector D: Mirdika
# Subsector E: Chang-Tu
# Subsector F: Olpinures
# Subsector G: Plok
# Subsector H: Lisqitama
# Subsector I: Ubagil
# Subsector J: Babadur
# Subsector K: Tynvegi
# Subsector L: Joseph
# Subsector M: Quadrant 01-569
# Subsector N: Pozzy
# Subsector O: Virtanen
# Subsector P: Willwlmo

# Alleg: Na: "Non-Aligned, Human-dominated"
# Alleg: Rm: "Regency of Muirimi"

Hex  Name                 UWP       Remarks              {Ix} (Ex) [Cx] N B Z PBG W A  Stellar
---- -------------------- --------- -------------------- ---- ---- ---- - - - --- - -- -------
0110                      X200010-0 Lo Ni Va                            - - - 000   Na        
0203                      X235036-1 Lo Ni                               - - - 000   Na        
0302                      X538004-1 Lo Ni                               - - - 004   Na        
0305                      X476032-0 Lo Ni                               - - - 004   Na        
0402                      X250033-1 De Lo Ni Po                         - - - 020   Na        
0407                      X867000-1 Ba Lo Ni                            - - - 004   Na        
0602                      X999012-0 Lo Ni                               - - - 014   Na        
0603                      X672000-3 Ba Lo Ni                            - - - 002   Na        
0605                      X435038-3 Lo Ni                               - - - 024   Na        
0607                      X673002-1 Lo Ni                               - - - 002   Na        
0608                      X303033-1 Ic Lo Ni Va                         - - - 003   Na        
0708                      X336034-0 Lo Ni                               - - - 003   Na        
0802                      XAC8012-0 Fl Lo Ni                            - - - 020   Na        
0807                      X626004-3 Lo Ni                               - - - 014   Na        
0808                      X6A3003-0 Fl Lo Ni                            - - - 002   Na        
0908                      X7A5000-3 Ba Fl Lo Ni                         - - - 003   Na        
1002                      X5A0000-4 Ba De Lo Ni                         - - - 005   Na        
1006                      X645020-1 Lo Ni                               - - - 000   Na        
1202                      X686000-0 Ba Lo Ni                            - - - 013   Na        
1207                      X413023-3 Ic Lo Ni                            - - - 014   Na        
1303                      X334000-3 Ba Lo Ni                            - - - 003   Na        
1309                      X150004-3 De Lo Ni Po                         - - - 014   Na        
1407                      X120004-6 De Lo Ni Po                         - - - 012   Na        
1501                      X000020-1 As Lo Ni                            - - - 003   Na        
1503                      X403000-5 Ba Ic Lo Ni Va                      - - - 004   Na        
1506                      X778021-0 Lo Ni                               - - - 005   Na        
1601                      X888000-3 Ba Lo Ni                            - - - 004   Na        
1603                      X574002-2 Lo Ni                               - - - 002   Na        
1604                      X753020-0 Lo Ni Po                            - - - 003   Na        
1605                      X492002-1 Lo Ni                               - - - 001   Na        
1703                      X221012-1 Lo Ni Po                            - - - 033   Na        
1705                      XAA5042-3 Fl Lo Ni                            - - - 010   Na        
1707                      XAC4043-0 Fl Lo Ni                            - - - 015   Na        
1809                      X332010-0 Lo Ni Po                            - - - 004   Na        
1810                      X563046-0 Lo Ni                               - - - 005   Na        
1903                      X7B0011-0 De Lo Ni                            - - - 000   Na        
1907                      X300010-1 Lo Ni Va                            - - - 010   Na        
2006                      X57A001-4 Lo Ni Wa                            - - - 004   Na        
2108                      X300036-1 Lo Ni Va                            - - - 014   Na        
2205                      X786037-0 Lo Ni                               - - - 012   Na        
2208                      X472003-0 Lo Ni                               - - - 003   Na        
2209                      X788033-0 Lo Ni                               - - - 002   Na        
2210                      X434002-3 Lo Ni                               - - - 000   Na        
2401                      X7B4010-2 Fl Lo Ni                            - - - 001   Na        
2408                      X757033-0 Lo Ni                               - - - 024   Na        
2504                      X888000-3 Ba Lo Ni                            - - - 005   Na        
2508                      X675010-0 Lo Ni                               - - - 004   Na        
