# Generated by https://travellermap.com
# 2019-07-14T20:42:02-07:00

# Kaa G!'kul
# 4,1

# Name: Kaa G!'kul (kk)
# Name: Numbis (hv)
# Name: Galiin (vi)

# Milieu: M1105

# Credits: Kaa G!'kul sector was designed by Leroy W. L. Guatney, Mike McKeown and Clifford Linehan.

# Author:    Leroy W. L. Guatney, Mike McKeown
# Ref:       https://travellermap.com/data/Kaa%20G!kul

# Subsector A: Kirleon
# Subsector B: Finnegan
# Subsector C: 't!t
# Subsector D: Gnim
# Subsector E: Zilme
# Subsector F: Philamen
# Subsector G: Lerr'n
# Subsector H: Iruratikr
# Subsector I: Tsnafi-Taipan
# Subsector J: Kamnoir
# Subsector K: Trux
# Subsector L: K'righeek
# Subsector M: H'vik-Havick
# Subsector N: Discord-Regal
# Subsector O: Xrex
# Subsector P: Torrent

# Alleg: Cr: "Corona Regnum"
# Alleg: Hs: "Lishun Suugugki"
# Alleg: Hv: "Hive Federation"
# Alleg: Kc: "K'kree Client State"
# Alleg: Kk: "The Two Thousand Worlds"
# Alleg: Kr: "Krotan Primacy"
# Alleg: Lx: "Losan Xkeerikulookree"
# Alleg: Mp: "Munsonian Principality"
# Alleg: Na: "Non-aligned"
# Alleg: Up: "United Pact"
# Alleg: Yc: "Yeskoth Corporate"

Hex  Name                 UWP       Remarks                 {Ix} (Ex) [Cx] N B  Z PBG W A  Stellar            
---- -------------------- --------- ----------------------- ---- ---- ---- - -- - --- - -- -------------------
0103 Gashetha             C662200-6 Lo Ni                                  - -  - 414   Na K5 V K7 V          
0104 Idiefers             B576ABA-E Hi In Hn                               - N  - 323   Na K3 V               
0105 Douwi                A83A627-A Ni Wa                                  - -  - 610   Na M6 V G1 D          
0106 Wodean               A000776-A Na As                                  - -  - 904   Na G8 V               
0109 Odot                 E541548-3 Ni Po                                  - -  - 803   Mp K0 V               
0110 Fetodeng             X763786-0 Po                                     - -  - 701   Mp M8 V               
0202 Merhoht              B55A7B6-7 Wa                                     - -  - 123   Na K8 V               
0203 Golit                B401741-9 Na Va Ic                               - -  - 802   Na F7 V G3 V          
0204 Plesti               E77A343-5 Lo Ni Wa                               - -  - 601   Na F5 D M4 V          
0205 Anfreao              C300797-8 Na Va                                  - -  - 725   Na A0 V               
0207 Taga                 B000784-A Na As                                  - NS - 200   Na M7 V               
0209 Leetemasa            C10057A-A Ni Va                                  - -  - 923   Mp F1 V               
0301 Senyer               B89A678-B Ni Wa                                  - NS - 102   Na K0 V               
0303 Ere                  B546642-7 Ag Ni Hp                               - -  - 422   Na G8 V K4 V          
0305 Ane                  B774843-7                                        - -  - 103   Kc M8 V               
0306 Evet                 E386345-8 Lo Ni                                  - -  - 523   Na G6 V               
0307 Elye                 E511641-8 Na Ni Ic                               - -  - 933   Na G8 V K0 V          
0308 Thedoucise           B76687A-6 Ri                                     - -  - 222   Na G8 V M3 V          
0309 Jiwothess            C232577-8 Ni Po                                  - -  - 810   Mp F2 V G3 V          
0401 Akemirou             B778984-7 Hi In                                  - -  - 601   Na M7 V               
0402 Fedehisyes           C65899A-9 Hi Hp                                  - -  - 114   Na G1 V               
0404 Frodarouse           E504302-7 Lo Ni Va Ic                            - -  - 815   Na G2 V               
0405 Echeani              C261210-8 Lo Ni                                  - -  - 124   Na G8 V               
0410 Ceyelorsir           E576A9A-A Hi In Hn                               - -  - 901   Mp G0 V               
0501 Sheo                 A333546-F Lo Ni Po                               - N  - 414   Na G0 V               
0504 Wawhont              C6A4333-8 Fl Lo Ni                               - -  - 624   Up F2 V G2 V          
0505 Gesa                 E3306A9-7 Na Ni Po De                            - -  - 313   Up M7 V               
0507 Emisoue              B436667-8 Ni O:0907                              - -  - 200   Up M1 V               
0508 Tedoex               D4738AD-3 Hp                                     - -  - 103   Up K3 V               
0510 Sowe                 E887763-6 Ag Ri Mr                               - -  - 410   Na A3 V               
0601 Aceeciss             X771863-0 Mr                                     - -  - 801   Na K0 V               
0602 Bagathio             C596640-7 Ag Ni                                  - -  - 401   Na M7 V F9 D          
0603 Caworo               B424338-C Lo Ni                                  - -  - 823   Up G5 V F9 D          
0607 Exlen                E574210-5 Lo Ni Hp                               - -  - 224   Up G8 V M0 V          
0609 Endaati              E230755-5 Na Po De                               - -  - 810   Up A4 V               
0701 Staves               C545346-6 Lo Ni Hp                               - -  - 201   Na M9 V               
0704 Letaxeinesan         C553335-6 Lo Ni Po Hp                            - -  - 700   Up K8 V               
0706 Thaacane             B755753-7 Ag                                     - -  - 324   Up F1 V K1 V          
0708 Benattun             B320613-B Na Ni Po De                            - NS - 534   Up G7 V               
0710 Fonagiack            B79A67B-8 Ni Wa                                  - -  - 203   Up M3 D M0 V          
0801 Sheteraho            E66AA89-7 Hi Wa                                  - -  - 304   Na M0 V               
0803 Aipatu               C437763-7 Mr                                     - -  - 500   Na M8 V               
0806 Abat                 A865655-D Ag Ni Ri St                            - -  - 100   Up G6 V               
0810 Onebou               C53757A-8 Ni                                     - -  - 114   Up M5 V               
0903 FGose                E457314-4 Lo Ni Hp                               - -  - 300   Na M7 V               
0905 Chifasele            B5538A9-A Po Hp                                  - NS - 901   Up G0 V M6 V          
0906 Aratir               E7A8246-6 Fl Lo Ni                               - -  - 403   Up F4 V M2 D          
0907 Ate                  A9D7201-F Lo Ni Cx                               - -  - 823   Up M3 V               
0910 Foukorlende          D9C6452-8 Fl Lo Ni                               - -  - 204   Up M3 V M6 V          
1004 Aurkitu              C767564-5 Ag Ni Mr                               - -  - 324   Up A0 V M5 V          
1009 Ossleng              B695730-7 Ag                                     - NS - 723   Up M6 V               
1101 Ostrouspen           E8C3000-0 Ba                                     - -  - 010   Na G4 V               
1103 Erissotrine          E66A000-0 Ba Wa                                  - -  - 024   Na G7 V               
1106 Aced                 B5118BD-8 Na Ic                                  - NS - 120   Up G4 V               
1107 Shareendo            B212200-9 Lo Ni Ic                               - NS - 521   Up F2 V K2 V          
1108 Thengo               B5586AB-7 Ag Ni Hp                               - -  - 300   Up M6 V               
1201 Bimod                X000000-0 Ba As                                  - -  - 013   Na F0 V               
1204 Ourshorin            B423888-8 Na Po                                  - -  - 301   Up M9 V               
1208 Coe                  C210355-8 Lo Ni                                  - -  - 412   Na G4 V K4 V          
1210 Hoare                A421659-D Na Ni Po                               - N  - 600   Up F7 V               
1303 Eni                  C43059A-8 Ni Po De                               - -  - 803   Na K0 V               
1308 Itho                 C774533-9 Ag Ni                                  - -  - 603   Na G5 V               
1309 Tesii                E834664-5 Ni Mr                                  - -  - 900   Na M7 V M3 V          
1404 Famathando           D563547-4 Ni Hp                                  - -  - 910   Na M7 V M1 V          
1405 Ouner                A100689-B Na Ni Va                               - -  - 401   Na M3 V               
1407 Iilasha              C896546-8 Ag Ni                                  - -  - 600   Na G4 V               
1409 Garshel              A43668A-B Ni                                     - N  - 924   Na F5 V               
1502 Cosode               E866637-3 Ag Ni Ri                               - -  - 704   Na K6 V               
1503 Tacke                E786588-6 Ag Ni                                  - -  - 520   Na A6 V F5 V          
1510 Fatitirshani         A847633-8 Ag Ni                                  - -  - 512   Na M0 V               
1603 Wasangheto           C559856-8 Hp                                     - -  - 822   Na M8 V               
1606 Aser                 D769752-4 Ri                                     - -  - 422   Na K2 V M8 V          
1608 Osssenos             D585789-3 Ag Ri                                  - -  - 113   Na F9 V               
1609 Jolas                X563444-1 Lo Ni Hp                               - -  - 100   Na K0 V M1 V          
1610 Umkii                D510312-8 Lo Ni                                  - -  - 604   Na M5 V M6 V          
1701 Etoo                 CAA5758-5 Fl                                     - -  - 805   Na K7 V               
1703 Oce                  D88A99A-9 Hi Wa                                  - -  - 802   Na K9 V               
1704 Ciasiine             E302132-9 Lo Ni Va Ic                            - -  - 100   Na M4 V               
1709 Rarokohon            C341544-A Ni Po                                  - -  - 614   Na M9 V M9 D          
1801 Civirben             D566300-8 Lo Ni Hn                               - -  - 902   Na A9 V F9 V          
1805 Ilconad              B644478-6 Lo Ni Hp                               - -  - 822   Na A0 V G8 V          
1806 Toshethar            B412657-D Na Ni Ic                               - N  - 822   Na F8 V K0 V          
1807 Ora                  B878A96-9 Hi In                                  - -  - 801   Na M8 V               
1808 Estiarplend          C582657-5 Ni Ri                                  - -  - 603   Na G8 V               
